freq	dB(S(1,1))
1.00087999999999999E7	-2.03876317034485677E1
1.00089000000000006E7	-2.02935498185956931E1
1.00090000000000012E7	-2.02004899035971297E1
1.00090999999999997E7	-2.01084307607561286E1
1.00092000000000025E7	-2.00173518443076714E1
1.00092999999999988E7	-1.99272332342306480E1
1.00093999999999994E7	-1.98380556113476691E1
1.00095000000000001E7	-1.97498002336268152E1
1.00096000000000007E7	-1.96624489136299441E1
1.00097000000000014E7	-1.95759839970616278E1
1.00097999999999976E7	-1.94903883422922486E1
1.00099000000000005E7	-1.94056453008892449E1
1.00099999999999989E7	-1.93217386990222306E1


